Threshold,Accuracy,Precision,Recall,F1-Score
0.3,0.7955531453362256,0.5371154908822988,0.5497737556561086,0.5433709121401286
0.31,0.7989738027698983,0.5461640967066438,0.5409125188536953,0.5435256228095102
0.32,0.8009344234940764,0.5522182960345504,0.5303544494720965,0.5410655895364493
0.33,0.8027698982145837,0.5581818181818182,0.5209276018099548,0.5389116442363956
0.34,0.8057734023026865,0.56744379683597,0.5139517345399698,0.5393747526711515
0.35000000000000003,0.8077340230268647,0.5744908896034298,0.5052790346907994,0.5376667669776306
0.36000000000000004,0.8101535124311697,0.5833148926753706,0.49698340874811464,0.5366995826122366
0.37000000000000005,0.811988987151677,0.591252576139226,0.4868024132730015,0.5339675317960914
0.38000000000000006,0.8134490238611713,0.5982522437411432,0.4775641025641026,0.5311386034808135
0.39000000000000007,0.8152844985816786,0.6064657267865824,0.4703996983408748,0.529836483329794
0.4000000000000001,0.8162022359419323,0.6121939030484758,0.46191553544494723,0.5265420159037181
0.4100000000000001,0.8171199733021859,0.6184346035015448,0.4528657616892911,0.522855898998694
0.4200000000000001,0.8178708493242116,0.6244031830238727,0.44381598793363497,0.5188450517963412
0.4300000000000001,0.8186634406807942,0.6307019939907129,0.4353318250377074,0.5151143335192415
0.4400000000000001,0.8191223093609211,0.6357263039820528,0.4274132730015083,0.5111612175873732
0.4500000000000001,0.819205740030035,0.6400115473441108,0.41798642533936653,0.5057025547445255
0.46000000000000013,0.8199983313866177,0.6468666468666469,0.4106334841628959,0.5023642025141275
0.47000000000000014,0.8204989154013015,0.6534805274455688,0.40177224736048267,0.49760653823701106
0.48000000000000015,0.8204154847321875,0.6583201267828843,0.39159125188536953,0.4910745951058045
0.49000000000000016,0.8204989154013015,0.6630824372759857,0.38367269984917046,0.4860862295473546
0.5000000000000002,0.8200400467211747,0.6662189388851578,0.3740573152337858,0.479111325766723
0.5100000000000002,0.8200817620557317,0.669982847341338,0.36821266968325794,0.47524029687309893
0.5200000000000002,0.8202069080594027,0.6745084269662921,0.36217948717948717,0.4712953876349362
0.5300000000000002,0.8200400467211747,0.6787003610108303,0.35444947209653094,0.4656923458013376
0.5400000000000003,0.8197480393792759,0.6819696408737504,0.34728506787330315,0.46021236727045595
0.5500000000000003,0.8199566160520607,0.6881188118811881,0.34068627450980393,0.4557377049180328
0.5600000000000003,0.8196646087101619,0.693034238488784,0.33201357466063347,0.44894837476099425
0.5700000000000003,0.819372601368263,0.6957395498392283,0.3263574660633484,0.4443018480492813
0.5800000000000003,0.8183297180043384,0.6956701030927835,0.31806184012066363,0.4365377150989779
0.5900000000000003,0.8182045720006674,0.7004237288135593,0.31165158371040724,0.43136743215031315
0.6000000000000003,0.8174536959786417,0.7031523642732049,0.30279034690799395,0.42329994728518716
0.6100000000000003,0.8173285499749708,0.7103228740336517,0.2944947209653092,0.41636678661868587
0.6200000000000003,0.8169531119639579,0.7160377358490566,0.2861990950226244,0.4089439655172414
0.6300000000000003,0.8160353746037043,0.71998031496063,0.2758295625942685,0.3988549618320611
0.6400000000000003,0.8149507759052228,0.7244053774560496,0.2641402714932127,0.38712351478308926
0.6500000000000004,0.8137410312030703,0.725174449812131,0.2547134238310709,0.37700572066415516
0.6600000000000004,0.8129484398464876,0.7329545454545454,0.24321266968325791,0.3652321630804077
0.6700000000000004,0.811822125813449,0.7387116195063215,0.2313348416289593,0.35233309404163676
0.6800000000000004,0.8101952277657267,0.7407407407407407,0.2187028657616893,0.33770014556040756
0.6900000000000004,0.809569497747372,0.7491571139581928,0.20946455505279035,0.3273905996758509
0.7000000000000004,0.8080260303687635,0.7528818443804035,0.1970211161387632,0.31231320980274957
